Prediction,Actual,Key,COF,Pitches
B-,F#,g,B,['1d', '1f#', '1a', '1b-']
D,F,F,D,['1d', '2f', '1a']
E,B,D,E,['1d', '1e', '1g', '1b']
A,F#,C,A,['2c', '1g', '1a']
F,C,F,C,['2c', '1f', '1g']
F,A,C,D,['1c', '1d', '1f', '1a']
G,E,e,B,['1f#', '1g', '2b']
E-,A-,A-,B,['1d-', '2e-', '1f']
G#,E,C,B,['1d', '1g#', '2b']
B,G#,G,B,['1d', '1a', '2b']
E,A,A,A,['1d#', '1e', '1a', '1b']
B,D,G,B,['1d', '1f#', '1a', '1b']
A,D,G,A,['1c', '1e', '2a']
B,G,G,B,['2d', '1a', '1b']
D,B,D,D,['1c#', '1d', '1f#', '1a']
E,E-,E-,G,['1d', '1g', '2b-']
D-,F,A-,D,['1d-', '2f', '1a-']
F#,A,G,F,['2c', '1f#', '1a']
F#,D,E-,A,['1c', '1d', '1f#', '1a']
C,E,G,C,['1c', '1e', '2g']
G#,E,D,B,['2d', '1g#', '1b']
C#,E,b,C,['1c#', '1e', '1g', '1b']
B,G#,a,B,['2d', '1g#', '1b']
C,F#,C,A,['2c', '1e', '1f#']
D,G,g,D,['1d', '1f', '1g', '1a']
E,A,A,C,['1c#', '2e', '1g#']
A,F#,G,A,['1c', '1e', '2a']
B,G#,F,B,['1d', '1f', '1g#', '1b']
D,B-,g,D,['1c', '1d', '1f', '1a']
C,E,G,C,['1c', '2e', '1g']
F#,A,G,F,['1c', '1f#', '2a']
D,G,g,D,['1d', '1f', '1g', '1a']
D,G#,A,D,['2d', '1g#', '1a']
A,E,a,A,['2e', '1a', '1b']
D,G,G,B,['2d', '1f#', '1g']
B,G,F,B,['1d', '2f', '1b']
B,E,E,E,['1e', '1g#', '2b']
B,G,G,B,['1d', '1f#', '1a', '1b']
B,G,a,B,['2d', '1a', '1b']
F#,D,G,F,['1c', '1f#', '2a']
B-,E-,A-,B,['1d-', '1e-', '1f', '1b-']
E,C#,D,C,['1c#', '2e', '1g']
B-,G,F,B,['1d', '1f', '1a', '1b-']
A,F#,G,F,['1c', '1f#', '2a']
F,A-,E-,A,['1c', '1e-', '1g', '1a-']
F#,D,C,A,['1c', '1f#', '2a']
B,D,G,B,['2d', '1f#', '1b']
B-,G,B-,G,['1d', '1g', '2b-']
F,C,g,A,['2c', '1e-', '1b-']
A,F#,e,A,['1c', '1g', '2a']
F,D,A-,D,['1d', '1f', '2a-']
F#,B,A,A,['1e', '1f#', '2a']
E,C#,F,E,['1d', '1e', '1g', '1b-']
B,G,b,B,['1d', '1f#', '2b']
E-,A-,A-,E,['2e-', '1g', '1b-']
A,D,G,A,['1c#', '1e', '2a']
B-,G,F,B,['2d', '2b-']
C,E,G,C,['1c', '2e', '1g']
B,G#,G,B,['1d', '1a', '2b']
B,D,a,B,['1d', '1f', '1a', '1b']
E-,B-,E-,E,['1e-', '1f', '1g', '1b-']
A,C,a,A,['1c', '1d', '2e']
D,E,a,A,['1e', '1f', '1a', '1b']
B,B-,E-,B,['1c', '1d', '1f', '1a']
B,D,F,B,['2d', '1f', '1b']
D,B,F,C,['1c', '1d', '1f', '1g']
B,D,C,B,['1d', '2f', '1b']
G,B,D,G,['2d', '1g', '1b']
B,B-,B-,D,['2d', '1f', '1a']
A,C,F,A,['2c', '1e', '1a']
E,G#,A,G,['1c#', '1d', '1g#', '1b']
F,D,F,F,['1c', '1f', '2a']
B,D#,A,B,['1d#', '1f#', '1a', '1b']
F#,A,a,A,['1c', '1f#', '2a']
B,D#,E,D,['1c#', '1d#', '1f#', '1a']
D#,D,e,D,['1d#', '2f#', '1a']
E-,C,g,C,['1d', '1e-', '2g']
B,A,C,B,['1d', '1f', '1a', '1b']
G,B,b,G,['2d', '1g', '1b']
B,B-,E-,B,['1c', '1d', '1f', '1a']
B,D,a,B,['1d', '1f', '1a', '1b']
D,B,C,B,['2d', '1f', '1b']
A,D#,A,F,['1c#', '1d#', '1f#', '1a']
F#,C,G,A,['1c', '1e', '1f#', '1a']
E,C,E-,C,['1d-', '1e', '2g']
C,E,G,C,['1c', '2e', '1g']
G,E-,g,G,['1d', '1e', '1g', '1b-']
C,F,F,C,['1c', '1f', '1g', '1b-']
A,D,D,A,['1c#', '1d', '1e', '1a']
A,F#,C,A,['1c', '1e', '1f#', '1b']
B,D,D,B,['2d', '1f#', '1b']
E-,C,B-,C,['1c', '2e-', '1g']
G,B,D,G,['2d', '1g', '1b']
B,D,B-,B,['2d', '2f']
A,D,G,A,['1c', '1e', '2a']
C,A,F,A,['2c', '1e', '1a']
A,C,G,A,['2c', '1e', '1f#']
F#,D,E-,A,['1e-', '1f#', '2a']
A#,C#,E,A,['2c#', '1e', '1a#']
E-,C,E-,C,['1c', '1e-', '1g', '1b-']
F#,A,G,F,['1c', '1f#', '2a']
A,E,G,A,['1c', '1e', '1g', '1a']
B,A,A,B,['2d', '1a', '1b']
B,G#,A,B,['1d#', '1f#', '1g#', '1b']
B,G,F,B,['1d', '1f', '1g', '1b']
B,G#,a,B,['2d', '1f', '1g#']
E,G,F,E,['1e', '1g', '2b-']
E-,A-,A-,B,['1d-', '2e-', '1f']
G,C,e,G,['1d', '2g', '1b']
C#,E,G,C,['1c#', '1e', '2g']
F#,C,G,A,['1c', '1e', '1f#', '1a']
A,F#,C,A,['1c', '1e', '2a']
C,A-,c,C,['1c', '1e-', '1g', '1b-']
A,D,G,A,['1c', '1d', '1e', '1a']
